Year;GDP_GBP_Billions;Inflation_Pct;Interest_Rate_Pct;exports_GBP_Billions;Imports GBP Billion
1950;13.5;3.1;2.0;2,1;2,4
1951;14.2;9.0;2.5;2,38;2,75
1952;14.5;9.2;4.0;2,35;2,62
1953;15.1;3.1;3.5;2,42;2,58
1954;15.8;1.8;3.0;2,55;2,7
1955;16.6;4.5;4.5;2,72;2,95
1956;17.1;4.9;5.5;2,81;2,98
1957;17.7;3.7;7.0;2,92;3,05
1958;17.9;3.0;4.0;2,88;2,99
1959;18.8;0.6;4.0;3,02;3,12
1960;19.8;1.0;6.0;3,28;3,45
1961;20.4;3.5;7.0;3,35;3,52
1962;20.8;4.3;4.5;3,38;3,56
1963;21.8;2.0;4.0;3,52;3,68
1964;23.0;3.3;7.0;3,76;4,05
1965;24.0;4.8;6.0;3,89;4,12
1966;24.7;3.9;7.0;4,02;4,23
1967;25.2;2.5;8.0;4,08;4,42
1968;26.5;4.7;7.0;4,58;4,82
1969;27.2;5.4;8.0;4,92;4,98
1970;28.5;6.4;7.0;5,35;5,42
1971;30.1;9.4;5.0;5,78;5,82
1972;32.0;7.1;9.0;6,12;6,58
1973;36.5;9.2;13.0;7,42;8,25
1974;43.5;15.9;11.5;8,82;10,25
1975;52.8;24.1;11.0;9,82;10,98
1976;62.5;16.6;15.0;12,18;13,25
1977;72.5;15.8;7.0;15,28;15,85
1978;82.5;8.3;12.5;16,85;17,42
1979;96.5;13.4;17.0;19,28;20,15
1980;112.0;17.9;16.0;20,28;20,48
1981;120.5;11.9;14.0;20,55;20,12
1982;129.5;8.6;10.0;21,28;21,58
1983;139.5;4.6;9.0;21,98;23,28
1984;150.5;5.0;10.0;23,58;26,45
1985;163.5;6.0;11.5;25,68;27,85
1986;174.5;3.4;11.0;25,28;28,95
1987;191.5;4.2;9.5;27,58;31,25
1988;214.5;4.9;13.0;28,98;36,85
1989;236.5;7.8;15.0;30,58;38,25
1990;255.5;9.5;15.0;31,25;36,85
1991;263.5;5.9;10.5;30,58;34,25
1992;271.5;3.7;7.0;31,58;35,85
1993;285.5;1.6;6.0;33,58;36,25
1994;304.5;2.4;6.25;36,58;39,25
1995;323.5;3.4;6.5;40,08;42,85
1996;344.5;2.4;6.0;42,58;45,25
1997;368.5;3.1;7.25;45,58;47,85
1998;393.5;3.4;6.25;46,58;51,25
1999;415.5;1.3;5.5;47,58;53,85
2000;446.5;3.0;6.0;52,58;58,85
2001;465.5;1.8;4.0;52,08;59,25
2002;484.5;1.3;4.0;51,58;60,85
2003;508.5;1.4;3.75;52,58;63,85
2004;540.5;1.3;4.75;56,58;68,85
2005;573.5;2.1;4.5;60,58;73,85
2006;612.5;2.3;5.0;66,58;79,85
2007;655.5;2.3;5.75;72,58;83,85
2008;682.5;3.6;2.0;74,58;83,25
2009;660.5;2.2;0.5;65,58;70,85
2010;698.5;3.3;0.5;72,58;79,85
2011;729.5;4.5;0.5;78,58;85,85
2012;749.5;2.8;0.5;79,58;87,85
2013;779.5;2.6;0.5;81,58;88,85
2014;817.5;1.5;0.5;85,58;92,85
2015;856.5;0.0;0.5;88,58;96,85
2016;1986.5;0.7;0.25;360,33;448,767
2017;2065.0;2.7;0.5;366,147;462,25
2018;2115.0;2.5;0.75;373,783;470,58
2019;2140.0;1.8;0.75;366,565;461,85
2020;1990.0;0.9;0.1;324,991;412,58
2021;2210.0;2.6;0.1;347,882;433,58
2022;2310.0;9.1;3.5;355,495;449,58
2023;2350.0;7.3;5.25;364,885;458,58
2024;2380.0;3.2;5.0;373,323;462,58
2025;2420.0;2.8;4.5;381,2;468
